file_path,classification,duration_sec,num_transients,bpm
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/114 AT Hypnosis Drum - Koenig 137 Strp.wav,Loop,7.01,49,68.91
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/200 AT Hypnosis Drum - Resonator 137 Hat.wav,Loop,7.01,17,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/165 AT Hypnosis Drum - Signal 137 Kick.wav,Loop,7.01,19,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/130 AT Hypnosis Drum - Future 137 No Kick.wav,Loop,7.01,40,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/012 AT Hypnosis Drum - Over 137 Strp.wav,Loop,7.01,63,109.96
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/219 AT Hypnosis Drum - Interference 137 Kick.wav,Loop,7.01,15,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/029 AT Hypnosis Drum - Threshold 137 Perc.wav,Loop,7.01,71,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/108 AT Hypnosis Drum - Altering 137 Strp.wav,Loop,7.01,33,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/033 AT Hypnosis Drum - Turbulence 137 Kick.wav,Loop,7.01,15,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/148 AT Hypnosis Drum - Static 137 No Kick.wav,Loop,7.01,44,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/176 AT Hypnosis Drum - Knot 137 Hat.wav,Loop,7.01,32,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/079 AT Hypnosis Drum - Render 137 Full.wav,Loop,7.01,59,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/107 AT Hypnosis Drum - Altering 137 Perc.wav,Loop,7.01,36,68.91
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/157 AT Hypnosis Drum - Voltage 137 Full.wav,Loop,7.01,63,109.96
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/161 AT Hypnosis Drum - Voltage 137 Perc.wav,Loop,7.01,8,34.22
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/010 AT Hypnosis Drum - Over 137 No Kick.wav,Loop,7.01,63,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/043 AT Hypnosis Drum - Bullet 137 Full.wav,Loop,7.01,56,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/042 AT Hypnosis Drum - Rider 137 Strp.wav,Loop,7.01,30,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/189 AT Hypnosis Drum - Paradox 137 Kick.wav,Loop,7.01,19,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/001 AT Hypnosis Drum - Tube 137 Full.wav,Loop,7.01,42,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/160 AT Hypnosis Drum - Voltage 137 No Kick.wav,Loop,7.01,63,109.96
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/040 AT Hypnosis Drum - Rider 137 No Kick.wav,Loop,7.01,64,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/122 AT Hypnosis Drum - Koln 137 Hat.wav,Loop,7.01,17,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/125 AT Hypnosis Drum - Koln 137 Perc.wav,Loop,7.01,66,109.96
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/031 AT Hypnosis Drum - Turbulence 137 Full.wav,Loop,7.01,44,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/141 AT Hypnosis Drum - Code 137 Kick.wav,Loop,7.01,16,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/039 AT Hypnosis Drum - Rider 137 Kick.wav,Loop,7.01,15,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/045 AT Hypnosis Drum - Bullet 137 Kick.wav,Loop,7.01,20,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/209 AT Hypnosis Drum - Explorer 137 Perc.wav,Loop,7.01,43,272.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/145 AT Hypnosis Drum - Static 137 Full.wav,Loop,7.01,51,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/164 AT Hypnosis Drum - Signal 137 Hat.wav,Loop,7.01,39,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/055 AT Hypnosis Drum - Optic 137 Full.wav,Loop,7.01,66,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/177 AT Hypnosis Drum - Knot 137 Kick.wav,Loop,7.01,19,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/136 AT Hypnosis Drum - Sector 137 No Kick.wav,Loop,7.01,46,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/205 AT Hypnosis Drum - Explorer 137 Full.wav,Loop,7.01,65,136.0
